Ticket,Symbol,Type,Volume,OpenPrice,ClosePrice,OpenTime,CloseTime,Profit,Commission,Swap
107775224,EURUSD,BUY,1,1.16754,1.16754,2025-09-26T05:28:04.000Z,2025-09-26T05:28:04.000Z,-142,-2.92,0
107776699,XAUUSD,SELL,0.5,3736.5,3736.5,2025-09-26T06:00:40.000Z,2025-09-26T06:00:40.000Z,-226,-4.67,0
107901229,EURUSD,SELL,1,1.17055,1.17055,2025-09-26T23:00:00.000Z,2025-09-26T23:00:00.000Z,439,-2.93,0
107913291,XAUUSD,SELL,0.5,3765.59,3765.59,2025-09-29T03:01:21.000Z,2025-09-29T03:01:21.000Z,-233.5,-4.71,0
107914806,XAUUSD,BUY,0.5,3774.36,3774.36,2025-09-29T03:10:57.000Z,2025-09-29T03:10:57.000Z,-233.5,-4.72,0
107917651,EURUSD,BUY,1,1.17215,1.17215,2025-09-29T03:42:12.000Z,2025-09-29T03:42:12.000Z,-149,-2.93,0
108074439,EURUSD,SELL,1,1.17273,1.17273,2025-09-29T23:00:00.000Z,2025-09-29T23:00:00.000Z,203,-2.93,0
108083770,XAUUSD,BUY,0.5,3833.7,3833.7,2025-09-30T02:58:30.000Z,2025-09-30T02:58:30.000Z,-234,-4.79,0
108089068,EURUSD,SELL,1,1.17175,1.17175,2025-09-30T03:47:41.000Z,2025-09-30T03:47:41.000Z,-140,-2.93,0
108129886,EURUSD,BUY,1,1.17454,1.17454,2025-09-30T10:16:59.000Z,2025-09-30T10:16:59.000Z,-142,-2.94,0
108145295,XAUUSD,SELL,0.5,3824.72,3824.72,2025-09-30T11:22:37.000Z,2025-09-30T11:22:37.000Z,-243.5,-4.78,0
108275431,XAUUSD,BUY,0.5,3865.47,3865.47,2025-10-01T03:11:35.000Z,2025-10-01T03:11:35.000Z,-229,-4.83,0
108291656,XAUUSD,SELL,0.5,3856.28,3856.28,2025-10-01T06:36:04.000Z,2025-10-01T06:36:04.000Z,-260,-4.82,0
108295538,EURUSD,BUY,1,1.17538,1.17538,2025-10-01T07:50:27.000Z,2025-10-01T07:50:27.000Z,-139,-2.94,0
108347020,EURUSD,SELL,1,1.17262,1.17262,2025-10-01T13:09:29.000Z,2025-10-01T13:09:29.000Z,-141,-2.93,0
108469712,XAUUSD,SELL,0.5,3858.53,3858.53,2025-10-02T02:41:48.000Z,2025-10-02T02:41:48.000Z,-238,-4.82,0
108481366,XAUUSD,BUY,0.5,3867.37,3867.37,2025-10-02T05:00:01.000Z,2025-10-02T05:00:01.000Z,-232,-4.83,0
108501975,EURUSD,BUY,1,1.17485,1.17485,2025-10-02T10:04:44.000Z,2025-10-02T10:04:44.000Z,-141,-2.94,0
108567857,EURUSD,SELL,1,1.17207,1.17207,2025-10-02T16:50:15.000Z,2025-10-02T16:50:15.000Z,-140,-2.93,0
108651296,XAUUSD,SELL,0.5,3855.4,3855.4,2025-10-03T04:11:18.000Z,2025-10-03T04:11:18.000Z,-247.5,-4.82,0
108678859,XAUUSD,BUY,0.5,3864.31,3864.31,2025-10-03T10:41:56.000Z,2025-10-03T10:41:56.000Z,-227,-4.83,0
